12014074,Outside 114,Bushey Wood Road,53.32484,-1.5332931,Rowan sp,Senescent,Mountain Ash
12019783,Outside 40,Bushey Wood Road,53.3229829,-1.528344,Apple species,Damage to Surface,Mountain Ash
12019787,Outside 68,Bushey Wood Road,53.3240332,-1.5305792,Kanzan Cherry,Decay,Mountain Ash
12018065,Outside 122,Bushey Wood Road,53.3248396,-1.5342282,Rowan sp,Structural Integrity,Hawthorn
12019711,Outside 33,Chatsworth Road,53.3209585,-1.5283906,Common Lime,Damage to Surface,Lime
12019713,Outside 35,Chatsworth Road,53.3209564,-1.5285334,Common Lime,Damage to Surface,Lime
12019719,Outside 49,Chatsworth Road,53.3211003,-1.529506,Common Lime,Damage to Surface,Lime
12019721,Outside 51,Chatsworth Road,53.3209232,-1.5294484,Common Lime,Damage to Surface,Lime
12019715,Outside 43,Chatsworth Road,53.320826,-1.5284427,Common Lime,Damage to Surface,Lime
12019717,Outside 47,Chatsworth Road,53.321068,-1.5293736,Common Lime,Damage to Surface,Lime
12019709,Outside 31,Chatsworth Road,53.3208746,-1.5270786,Common Lime,Damage to Surface,Lime
12006903,"Facing corner of 4, (Outside 4-6)",Devonshire Drive,53.325956,-1.5308105,Tibetan Cherry,Decay,Hawthorn
12019897,"OPP 2, (first tree on road, at side of 82)",Devonshire Drive,53.3261678,-1.5311238,Tibetan Cherry,Damage to Surface,Hawthorn
12006905,Outside 10,Devonshire Drive,53.3260054,-1.5310994,Tibetan Cherry,Dead,Hawthorn
12019899,"Outside 12-14, between",Devonshire Drive,53.3260054,-1.5310994,Tibetan Cherry,Damage to Surface,Hawthorn
12019895,Outside 59,Devonshire Road,53.3251033,-1.5295442,Rowan,Structural Integrity,Mountain Ash
12006899,Outside 73,Devonshire Road,53.3255078,-1.5316397,Tibetan Cherry,Decay,Mountain Ash
12019893,"Outside 67, (lowermost 1 of 2 trees Outside 67)",Devonshire Road,53.3251141,-1.5295757,Cherry species,Damage to Surface,Mountain Ash
12019887,Outside 78A,Devonshire Road,53.3256626,-1.532299,Tibetan Cherry,Damage to Surface,Mountain Ash
12019889,Outside 86,Devonshire Road,53.3256619,-1.5318321,Swedish Whitebeam,Carriageway Obstruction,Mountain Ash
12019891,Outside 90,Devonshire Road,53.3256929,-1.5324587,Tibetan Cherry,Damage to Surface,Mountain Ash
12019886,OPP 57A,Devonshire Road,53.32513,-1.5300102,Cherry species,Damage to Surface,Mountain Ash
12006897,Outside 57A,Devonshire Road,53.32513,-1.5300102,Cherry species,Decay,Mountain Ash
12019823,Outside 93,Furniss Avenue,53.3224631,-1.5371922,Rowan sp,Decay,Hawthorn
12019813,Outside 76,Furniss Avenue,53.3222684,-1.5361632,Kanzan Cherry,Structural Integrity,Hawthorn
12019815,Outside 114,Furniss Avenue,53.323005,-1.5383006,Rowan sp,Decay,Hawthorn
12019817,Outside 118,Furniss Avenue,53.3236079,-1.5396654,Kanzan Cherry,Damage to Surface,Hawthorn
12019819,Outside 132,Furniss Avenue,53.323989,-1.5406438,Kanzan Cherry,Damage to Surface,Hawthorn
12019805,Outside 24,Furniss Avenue,53.3206814,-1.5323022,Kanzan Cherry,Senescent,Hawthorn
12019827,Outside 57-59,Furniss Avenue,53.3212261,-1.5342883,Kanzan Cherry,Structural Integrity,Hawthorn
12019825,Outside 83,Furniss Avenue,53.3220164,-1.5363647,Kanzan Cherry,Structural Integrity,Hawthorn
12019811,Outside 58,Furniss Avenue,53.3216524,-1.5348028,Kanzan Cherry,Damage to Surface,Hawthorn
12019809,Outside 40,Furniss Avenue,53.3209351,-1.5335665,Kanzan Cherry,Damage to Surface,Hawthorn
12019801,Outside 6,Furniss Avenue,53.3202018,-1.5312418,Kanzan Cherry,Damage to Surface,Hawthorn
12019833,Outside 17,Furniss Avenue,53.320422,-1.5319439,Kanzan Cherry,Structural Integrity,Hawthorn
12019831,Outside 29,Furniss Avenue,53.3207387,-1.5332506,Kanzan Cherry,Structural Integrity,Hawthorn
12011449,Outside 49,Furniss Avenue,53.3210219,-1.5337868,Kanzan Cherry,Structural Integrity,Hawthorn
12010182,Outside 39,Furniss Avenue,53.3209259,-1.5335416,Kanzan Cherry,Decay,Hawthorn
12019829,Outside 35-37,Furniss Avenue,53.3208891,-1.5334422,Kanzan Cherry,Structural Integrity,Hawthorn
12010192,Outside 92,Furniss Avenue,53.3224941,-1.5371544,Rowan sp,Decay,Hawthorn
12019807,Outside 34,Furniss Avenue,53.3208799,-1.5334174,Kanzan Cherry,Structural Integrity,Hawthorn
