"Fell job 
number","Fell job 
number",Tree position,Road Name,Existing tree species,Reason for Removal,Replant species
12006899,12006899,Outside 73,Devonshire Road,Tibetan Cherry,Decay,Mountain Ash
12019893,12019893,"Outside 67, 
(lowermost 1 of 2 
trees Outside 67)",Devonshire Road,Cherry species,Damage to Surface,Mountain Ash
12019887,12019887,Outside 78A,Devonshire Road,Tibetan Cherry,Damage to Surface,Mountain Ash
12019889,12019889,Outside 86,Devonshire Road,Swedish Whitebeam,Carriageway Obstruction,Mountain Ash
12019891,12019891,Outside 90,Devonshire Road,Tibetan Cherry,Damage to Surface,Mountain Ash
12019886,12019886,OPP 57A,Devonshire Road,Cherry species,Damage to Surface,Mountain Ash
12006897,12006897,Outside 57A,Devonshire Road,Cherry species,Decay,Mountain Ash
12019823,12019823,Outside 93,Furniss Avenue,Rowan sp,Decay,Hawthorn
12019813,12019813,Outside 76,Furniss Avenue,Kanzan Cherry,Structural Integrity,Hawthorn
12019815,12019815,Outside 114,Furniss Avenue,Rowan sp,Decay,Hawthorn
12019817,12019817,Outside 118,Furniss Avenue,Kanzan Cherry,Damage to Surface,Hawthorn
12019819,12019819,Outside 132,Furniss Avenue,Kanzan Cherry,Damage to Surface,Hawthorn
12019805,12019805,Outside 24,Furniss Avenue,Kanzan Cherry,Senescent,Hawthorn
12019827,12019827,Outside 57-59,Furniss Avenue,Kanzan Cherry,Structural Integrity,Hawthorn
12019825,12019825,Outside 83,Furniss Avenue,Kanzan Cherry,Structural Integrity,Hawthorn
12019811,12019811,Outside 58,Furniss Avenue,Kanzan Cherry,Damage to Surface,Hawthorn
12019809,12019809,Outside 40,Furniss Avenue,Kanzan Cherry,Damage to Surface,Hawthorn
12019801,12019801,Outside 6,Furniss Avenue,Kanzan Cherry,Damage to Surface,Hawthorn
12019833,12019833,Outside 17,Furniss Avenue,Kanzan Cherry,Structural Integrity,Hawthorn
12019831,12019831,Outside 29,Furniss Avenue,Kanzan Cherry,Structural Integrity,Hawthorn
12011449,12011449,Outside 49,Furniss Avenue,Kanzan Cherry,Structural Integrity,Hawthorn
12010182,12010182,Outside 39,Furniss Avenue,Kanzan Cherry,Decay,Hawthorn
12019829,12019829,Outside 35-37,Furniss Avenue,Kanzan Cherry,Structural Integrity,Hawthorn
12010192,12010192,Outside 92,Furniss Avenue,Rowan sp,Decay,Hawthorn
12019807,12019807,Outside 34,Furniss Avenue,Kanzan Cherry,Structural Integrity,Hawthorn
12010194,12010194,Outside 98,Furniss Avenue,Rowan sp,Decay,Swedish Whitebeam 'Brouwers'
12019821,12019821,Outside 131,Furniss Avenue,Kanzan Cherry,Decay,Hawthorn
12019803,12019803,Outside 12,Furniss Avenue,Kanzan Cherry,Senescent,Hawthorn
12013582,12013582,Outside 11,Heather Lea Avenue,Swedish Whitebeam,Structural Integrity,Canadian Crab
12019733,12019733,Outside 53,Heather Lea Avenue,Kanzan Cherry,Structural Integrity,Canadian Crab
12019731,12019731,Outside 43,Heather Lea Avenue,Kanzan Cherry,Structural Integrity,Canadian Crab
12019729,12019729,Outside 10/12,Heather Lea Avenue,Swedish Whitebeam,Structural Integrity,Canadian Crab
12009545,12009545,Opposite 25,Kerwin Road,Rowan sp,Senescent,Canadian Crab
12019723,12019723,Outside 19,Kerwin Road,Kanzan Cherry,Senescent,Canadian Crab
12019725,12019725,Outside 17,Kerwin Road,Rowan sp,Senescent,Canadian Crab
12019727,12019727,"Outside 2 
(lowermost 1 of 2 
trees Outside 2)",Kerwin Road,Rowan sp,Structural Integrity,Canadian Crab
12019841,12019841,Outside 21,King Ecgbert Road,Kanzan Cherry,Damage to Surface,Mountain Ash
12019844,12019844,"Outside 38 
(opposite 37)",King Ecgbert Road,Kanzan Cherry,Damage to Surface,Mountain Ash
12019848,12019848,Outside 49,King Ecgbert Road,Kanzan Cherry,Structural Integrity,Mountain Ash
12019846,12019846,Outside 63,King Ecgbert Road,Kanzan Cherry,Damage to Surface,Mountain Ash
12019654,12019654,Outside 29-31,Marstone Crescent,Kanzan Cherry,Structural Integrity,Hawthorn
12019660,12019660,Outside 75,Marstone Crescent,Apple species,Structural Integrity,Hawthorn
12019662,12019662,Outside 77,Marstone Crescent,Kanzan Cherry,Structural Integrity,Hawthorn
12019666,12019666,Outside 6,Marstone Crescent,Kanzan Cherry,Damage to Surface,Hawthorn
12019650,12019650,Outside 23,Marstone Crescent,Kanzan Cherry,Structural Integrity,Hawthorn
12019656,12019656,Outside 43,Marstone Crescent,Kanzan Cherry,Structural Integrity,Hawthorn
12019648,12019648,Outside 5,Marstone Crescent,Kanzan Cherry,Damage to Surface,Hawthorn
12019664,12019664,Outside 69,Marstone Crescent,Kanzan Cherry,Damage to Surface,Hawthorn
12019658,12019658,Outside 30,Marstone Crescent,Kanzan Cherry,Damage to Surface,Hawthorn
12019652,12019652,outside 14,Marstone Crescent,Cherry,Failure,Hawthorn
12019735,12019735,Outside 29,Newfield Crescent,Kanzan Cherry,Structural Integrity,Cherry
12009310,12009310,Outside 4,Newfield Crescent,Rowan,Structural Integrity,Cherry
12019769,12019769,Outside 17,Old Hay Close,Kanzan Cherry,Damage to Surface,Hawthorn
12019773,12019773,Outside 76,Old Hay Close,Apple species,Structural Integrity,Not Known
12019767,12019767,Outside 9 (opp 36),Old Hay Close,Kanzan Cherry,Damage to Surface,Hawthorn
12008872,12008872,Outside 34,Old Hay Close,Kanzan Cherry,Structural Integrity,Hawthorn
12019771,12019771,Outside 33,Old Hay Close,Kanzan Cherry,Damage to Surface,Hawthorn
12019775,12019775,Outside 78,Old Hay Close,Apple species,Damage to Surface,Hawthorn
12019777,12019777,Outside 26,Old Hay Close,Kanzan Cherry,Damage to Surface,Hawthorn
12019779,12019779,Outside 1,Old Hay Close,Kanzan Cherry,Structural Integrity,Hawthorn
12019781,12019781,"Side of 3 Old Hay 
Lane, ON Old Hay 
Close",Old Hay Close,Kanzan Cherry,Structural Integrity,Hawthorn
12019739,12019739,Outside 11,Rushley Close,Kanzan Cherry,Damage to Surface,Canadian Crab
12019741,12019741,Outside 12,Rushley Close,Swedish Whitebeam,Damage to Surface,Canadian Crab
12019737,12019737,"Side of 89 Rushley 
Rd",Rushley Close,Cherry species,Damage to Surface,Canadian Crab
12019743,12019743,Outside 11-13,Rushley Drive,Kanzan Cherry,Damage to Surface,Canadian Crab
12019671,12019671,Outside 25-27,Stonecroft Road,Rowan sp,Structural Integrity,Hawthorn
12019676,12019676,Outside 37-39,Stonecroft Road,Rowan sp,Structural Integrity,Hawthorn
12019678,12019678,"Side of 44 
Marstone Cres, 
tree on Stonecroft 
Road",Stonecroft Road,Apple species,Decay,Hawthorn
12019680,12019680,"Side of 42 
Marstone Cres, 
tree on Stonecroft 
Road",Stonecroft Road,Kanzan Cherry,Structural Integrity,Hawthorn
12019943,12019943,Outside 26,The Grove,Kanzan Cherry,Damage to Surface,Canadian Crab
12019945,12019945,Outside 60,The Grove,Common Ash,Damage to Surface,Canadian Crab
12019941,12019941,Outside 2,The Grove,Kanzan Cherry,Damage to Surface,Canadian Crab
12019951,12019951,Outside 1,The Grove,Kanzan Cherry,Damage to Surface,Canadian Crab
12019949,12019949,Outside 3,The Grove,Kanzan Cherry,Damage to Surface,Canadian Crab
12019947,12019947,Outside 7,The Grove,Kanzan Cherry,Damage to Surface,Canadian Crab
12019935,12019935,Outside 45,The Quadrant,Common Laburnum,Structural Integrity,Canadian Crab
12019939,12019939,Outside 21b,The Quadrant,Kanzan Cherry,Damage to Surface,Canadian Crab
12019937,12019937,Outside 23A,The Quadrant,Kanzan Cherry,Damage to Surface,Canadian Crab
12019799,12019799,Outside 126,Totley Brook Road,Common Lime,Damage to Surface,Lime
12019793,12019793,Outside 88,Totley Brook Road,Common Lime,Damage to Surface,Lime
12019795,12019795,Outside 90,Totley Brook Road,Common Lime,Damage to Surface,Lime
12019797,12019797,Outside 100,Totley Brook Road,Common Lime,Damage to Surface,Lime
12018112,12018112,Outside 55,Townhead Road,European Beech,Structural Integrity,European Beech
12010508,12010508,Outside 107,Townhead Road,Willow,Structural Integrity,Hawthorn
12019695,12019695,Outside 1,Vernon Road,English Oak,Damage to Surface,Canadian Maple - October Glory
